'Model','Image processor','Sensor format','Sensortype','Sensor manufacturer','Megapixels','Focuspoints','Meteringpixels','Viewfindercoverage','Viewfindermagnification','ISOmin','ISOmax','LCD monitor','Storage media','Live view','Movie mode','Top continuous shootingspeed (frames/sec)','Weight (g)','Dimensions (mm)','Announcement'
'D3X','EXPEED','Full-frame','CMOS','Sony','24.5',51,1005,'100%','0.7x',100,1600,'3.0" 921k dots','CF, MicroDrive(x2)','Yes','No',5,1220,'160 x 157 x 88','2008 4Q'
'D2Xs','-','APS-C','CMOS','Sony','12.4',11,1005,'100%','0.86x',100,800,'2.5" 230k dots','CF, MicroDrive','No','No',5,1070,'158 x 150 x 86','2006 2Q'
'D2X','-','APS-C','CMOS','Sony','12.4',11,1005,'100%','0.86x',100,800,'2.5" 235k dots','CF, MicroDrive','No','No',5,1070,'158 x 150 x 86','2004 3Q'
'D1X','-','APS-C','CCD','Sony','5.3',5,1005,'96%','0.8x',125,800,'2.0" 130k dots','CF, MicroDrive','No','No',9,1100,'157 x 153 x 85','2001 1Q'
'D1','-','APS-C','CCD','Sony','2.66',5,1005,'96%','0.8x',100,800,'2.0" 114k dots','CF','No','No','4.5',1100,'157 x 153 x 86','1999 2Q'
'D4','EXPEED 3','Full-frame','CMOS','Nikon','16.2',51,91000,'100%','0.7x',100,12800,'3.2" 921k dots','CF, XQD','Yes','Yes',10,1180,'160 x 157 x 91','2012 1Q'
'D3S','EXPEED','Full-frame','CMOS','Nikon','12.1',51,1005,'100%','0.7x',200,12800,'3.0" 921k dots','CF (x2)','Yes','Yes',9,1240,'160 x 157 x 88','2009 4Q'
'D3','EXPEED','Full-frame','CMOS','Nikon','12.1',51,1005,'100%','0.7x',200,6400,'3.0" 921k dots','CF, MicroDrive (x2)','Yes','No',9,1240,'160 x 157 x 88','2007 3Q'
'D2Hs','-','APS-C','JFET-LBCAST','Nikon','4.1',11,1005,'100%','0.86x',200,1600,'2.5" 232k dots','CF, MicroDrive','No','No',8,1070,'158 x 150 x 86','2005 1Q'
'D2H','-','APS-C','JFET-LBCAST','Nikon','4.1',11,1005,'100%','0.86x',200,1600,'2.5" 211k dots','CF, MicroDrive','No','No',9,1070,'158 x 150 x 86','2003 3Q'
'D1H','-','APS-C','CCD','Sony','2.7',5,1005,'96%','0.8x',200,1600,'2.0" 130k dots','CF, MicroDrive','No','No',5,1100,'157 x 153 x 86','2001 1Q'
'D800','EXPEED 3','Full-frame','CMOS','Sony','36.3',51,91000,'100%','0.7x',100,6400,'3.2" 921k dots','CF, SD','Yes','Yes',4,900,'145 x 122 x 81','2012 1Q'
'D700','EXPEED','Full-frame','CMOS','Nikon','12.1',51,1005,'95%','0.7x',200,6400,'3.0" 921k dots','CF','Yes','No',5,995,'147 x 123 x 77','2008 3Q'
'Df','EXPEED 3','Full-frame','CMOS','Nikon','16.2',39,2016,'100%','0.7x',100,12800,'3.2" 921k dots','SD/SDHC/SDXC','Yes','No','5.5',710,'144 x 110 x 67','2013 4Q'
'D610','EXPEED 3','Full-frame','CMOS','Sony','24.3',39,2016,'100%','0.7x',100,6400,'3.2" 921k dots','SD/SDHC/SDXC(×2)','Yes','Yes',6,760,'141 x 113 x 82','2013 3Q'
'D600','EXPEED 3','Full-frame','CMOS','Sony','24.3',39,2016,'100%','0.7x',100,6400,'3.2" 921k dots','SD/SDHC/SDXC(×2)','Yes','Yes','5.5',760,'141 x 113 x 82','2012 3Q'
'D300S','EXPEED','APS-C','CMOS','Sony','12.3',51,1005,'100%','0.94x',200,3200,'3.0" 921k dots','CF, SD, SDHC','Yes','Yes',7,840,'147 x 114 x 74','2009 3Q'
'D300','EXPEED','APS-C','CMOS','Sony','12.3',51,1005,'100%','0.94x',200,3200,'3.0" 921k dots','CF, MicroDrive','Yes','No',6,825,'147 x 114 x 74','2007 3Q'
'D200','-','APS-C','CCD','Sony','10.2',11,1005,'95%','0.94x',100,1600,'2.5" 230k dots','CF, MicroDrive','No','No',5,830,'147 x 113 x 74','2005 4Q'
'D100','-','APS-C','CCD','Sony','6.1',5,1005,'95%','0.8x',200,1600,'1.8" 118k dots','CF, MicroDrive','No','No',3,700,'115 x 117 x 81','2002 1Q'
'D7100','EXPEED 3','APS-C','CMOS','Toshiba','24.1',51,2016,'100%','0.94x',100,6400,'3.2" 1229k dots','SD/SDHC/SDXC (×2)','Yes','Yes',6,675,'135.5 x 106.5 x 76','2013 1Q'
'D7000','EXPEED 2','APS-C','CMOS','Sony','16.2',39,2016,'100%','0.94x',100,6400,'3.0" 921k dots','SD/SDHC/SDXC (×2)','Yes','Yes',6,690,'132 x 103 x 77','2010 3Q'
'D90','EXPEED','APS-C','CMOS','Sony','12.3',11,420,'96%','0.94x',200,3200,'3.0" 921k dots','SD, SDHC','Yes','Yes','4.5',620,'132 x 103 x 77','2008 3Q'
'D80','-','APS-C','CCD','Sony','10.2',11,420,'95%','0.94x',100,1600,'2.5" 230k dots','SD, SDHC','No','No',3,585,'132 x 103 x 77','2006 3Q'
'D70s','-','APS-C','CCD','Sony','6.1',5,1005,'95%','0.75x',200,1600,'2.0" 130k dots','CF, MicroDrive','No','No',3,600,'140 x 111 x 78','2005 2Q'
'D70','-','APS-C','CCD','Sony','6.1',5,1005,'95%','0.75x',200,1600,'1.8" 130k dots','CF, MicroDrive','No','No',3,595,'140 x 112 x 79','2004 1Q'
'D5300','EXPEED 4','APS-C','CMOS','Sony[1]','24.1',39,2016,'95%','0.82x',100,12800,'3.2" 1037k dots','SD, SDHC, SDXC','Yes','Yes',5,480,'125 x 98 x 76','2013 4Q'
'D5200','EXPEED 3','APS-C','CMOS','Toshiba','24.1',39,2016,'95%','0.78x',100,6400,'3" 921k dots','SD, SDHC, SDXC','Yes','Yes',5,550,'129 x 98 x 78','2012 4Q'
'D5100','EXPEED 2','APS-C','CMOS','Sony','16.2',11,420,'95%','0.78x',100,6400,'3.0" 921k dots','SD, SDHC, SDXC','Yes','Yes',4,510,'127 x 97 x 79','2011 2Q'
'D5000','EXPEED','APS-C','CMOS','Sony','12.3',11,420,'95%','0.78x',200,3200,'2.7" 230k dots','SD, SDHC','Yes','Yes',4,560,'127 x 104 x 80','2009 2Q'
'D60','EXPEED','APS-C','CCD','Sony','10.2',3,420,'95%','0.8x',100,1600,'2.5" 230k dots','SD, SDHC','No','No',3,495,'126 x 94 x 64','2008 1Q'
'D40X','-','APS-C','CCD','Sony','10.2',3,420,'95%','0.8x',100,1600,'2.5" 230k dots','SD, SDHC','No','No',3,495,'126 x 94 x 64','2007 2Q'
'D50','-','APS-C','CCD','Sony','6.1',5,420,'95%','0.75x',200,1600,'2.0" 130k dots','SD','No','No','2.5',540,'133 x 102 x 76','2005 2Q'
'D3200','EXPEED 3','APS-C','CMOS','Nikon','24.2',11,420,'95%','0.8x',100,6400,'3.0" 921k dots','SD, SDHC, SDXC','Yes','Yes',4,455,'125 x 96 x 77','2012 2Q'
'D3100','EXPEED 2','APS-C','CMOS','Nikon','14.2',11,420,'95%','0.8x',100,3200,'3.0" 230k dots','SD, SDHC, SDXC','Yes','Yes',3,455,'125 x 97 x 74','2010 3Q'
'D3000','EXPEED','APS-C','CCD','Sony','10.2',11,420,'95%','0.8x',100,1600,'3.0" 230k dots','SD, SDHC','No','No',3,485,'126 x 94 x 64','2009 3Q'
'D40','-','APS-C','CCD','Sony','6.1',3,420,'95%','0.8x',200,1600,'2.5" 230k dots','SD, SDHC','No','No','2.5',475,'126 x 94 x 64','2006 4Q'
