"tt0944946";"Hey Paula";"3.9";"Reality-TV";"N/A";"Paula Abdul,Jeff Ballard,Daniel Combs,Kiley Burke";"-1";"1";
"tt0944947";"Game of Thrones";"9.5";"Adventure,Drama,Fantasy";"N/A";"Peter Dinklage,Lena Headey,Emilia Clarke,Kit Harington";"-1";"8";
"tt0944948";"Before the Big Game";"-1.0";"Short,Drama";"Michael Goldburg";"Pete Barker,Margo Lemberger,Ashley Menser,Barbara Miluski";"2004";
"tt0944949";"Elevators";"-1.0";"Drama";"Jeff Benson";"Lesley Billingslea,Damaris Cordona,Jessica Ferraday,Sean Harrison";"2006";
"tt0944950";"Fiduciary";"-1.0";"Short,Comedy";"Ricco DiStefano";"Vincent Brady,Ricco DiStefano,Henry Hart II,Andrea Seybold";"2007";
"tt0944951";"For My Parents: A Warm & Fuzzy Story";"-1.0";"Animation,Short";"N/A";"N/A";"2004";
"tt0942891";"#DUPE#";"6.5";"Drama,Music,Romance";"Amy Redford";"Saffron Burrows,Isaach De Bankolé,Paz de la Huerta,Mia Kucan";"2008";
"tt0944954";"The IT Crowd";"7.3";"Comedy";"N/A";"Rocky Carroll,Shea Curry,Jessica St. Clair,Joel McHale";"-1";"-1";
"tt0944955";"Jessie & Jill";"6.2";"Drama";"Dakkan Abbe";"Marcel Simoneau,Lauren Currie Lewis,Jessica Leigh Johnson";"2007";
"tt0944956";"Kill My Roommate";"8.8";"Short,Comedy";"Dan Wedeking";"David Augusta,Robert Brandon Machado,Sarah Kay Peters,Dan Wedeking";"2006";
"tt0944957";"Lettres du train fantôme";"-1.0";"Documentary";"Laurent Lutaud";"N/A";"2002";
"tt0944958";"Love and Other Crimes";"6.2";"Comedy,Drama,Romance";"Stefan Arsenijevic";"Anica Dobra,Vuk Kostic,Milena Dravic,Fedja Stojanovic";"2008";
"tt0944959";"Mommie's Maybe";"7.3";"Short,Drama";"Khaleelah Bond";"Casandra Kate Escobar,Jennifer Grody,Brandon Slagle";"2006";
"tt0944960";"Mátyás, az igazságos";"7.6";"Animation";"László Újváry";"Gabriella Borbás,László Helyey,János Körmendi,Ildikó Pécsi";"1982";
"tt0944961";"In the Shadow of the Dog";"8.5";"Drama";"Girish Kasaravalli";"Ashwin Bolar,Ananya Kasaravalli,Pavithra Lokesh,Sringeri Ramanna";"2006";
"tt0944962";"Noche fría";"-1.0";"Short";"Enrique Buchichio";"Carolina Alarcón,Ariel Caldarelli,Leopoldo Otero";"2007";
"tt0944963";"North Devon Surf History";"-1.0";"Short,History,Sport";"Mark Brindle";"N/A";"2006";
"tt0944964";"Reenactment of the Century";"-1.0";"Documentary,Drama";"Robert Horgan";"Russ Russo,Sandra Olson,Gerald Rush";"2006";
"tt0944965";"The Replacement";"-1.0";"Short,Horror";"Lawrence Gough";"Simon Lawson,Natalie O'Brien,Victoria Scowcroft";"2005";
"tt0944966";"Solstreif";"-1.0";"Comedy";"Einar Schanke";"Ole Paus,Kari Simonsen,Anne Karine Strøm,Rolv Wesenlund";"1981";
"tt0944968";"Two Sisters";"7.6";"Comedy,Family";"Margaret Cho";"Margaret Cho,Bruce Daniels,Elaine Hendrix,Yunjin Kim";"2008";
"tt0944969";"Until You Came Along";"-1.0";"Short,Thriller";"Jonathan Schwartz";"Kelly Ames,Joe Fleming";"2006";
"tt0944980";"The Amazing Race Asia";"7.3";"Adventure,Reality-TV";"N/A";"Allan Wu";"-1";"4";
"tt0944998";"Beinase";"7.1";"Horror,Thriller";"Valentín Javier Diment";"Federico Amador,Luis Aranosky,Aldana Cal,Tomás Casares";"2006";"-1";
"tt0945000";"Lisa Bloom: Open Court";"8.0";"News,Reality-TV";"N/A";"J. Buzz Von Ornsteiner,Lisa Bloom,Robert Bigelow,Vinnie Politan";"-1";"-1";
"tt0945001";"Bomber Boys: The Fighting Lancaster";"6.9";"Documentary,History,War";"N/A";"Len Bawtree,Christopher Bigler,Mike Chalk,Ernie Croteau";"-1";"-1";
"tt0945019";"Chip and Pepper's Cartoon Madness";"6.0";"Animation";"N/A";"Chip Foster,Pepper Foster";"-1";"-1";
"tt0945090";"Foursome";"6.5";"Reality-TV";"N/A";"Mandy Pauline,Tawny Amber Young,Jaiya Ma,Vincent Islo";"-1";"5";

