imdbID;title;seriesID;season;episode;runtime;imdbRating;imdbVotes;genre;director;writer;actors;language;country;year;metascore;poster;plot;
"tt0944002";"Med i mleko";"null";"null";"null";"52 min";"N/A";"N/A";"Comedy";"Milo Djukanovic";"Gordan Mihic";"Miodrag 'Ckalja' Petrovic, Pavle Vuisic, Slavka Jerinic, Borivoje Jovanovic";"N/A";"N/A";"1973";"N/A";"N/A";"N/A";
"tt0944003";"Osnovna skola";"null";"null";"null";"52 min";"9.4";"5";"Comedy";"Milo Djukanovic";"Gordan Mihic";"Miodrag 'Ckalja' Petrovic, Pavle Vuisic, Slavka Jerinic, Borivoje Jovanovic";"N/A";"N/A";"1973";"N/A";"N/A";"N/A";
"tt0944004";"Het losse been";"null";"null";"null";"50 min";"N/A";"N/A";"Drama";"Willem Quarles van Ufford";"N/A";"Bram van der Vlugt, Henriëtte Tol, Porgy Franssen, Roos Ouwehand";"N/A";"N/A";"2007";"N/A";"N/A";"http://www.imdb.com/title/tt0944004/plotsummary?ref_=tt_ov_pl";
"tt0944005";"Opa Gust";"null";"null";"null";"35 min";"N/A";"N/A";"Comedy";"N/A";"N/A";"Mark Verstraete, Odilon Mortier, Anne Denolf, Aron Wade";"N/A";"N/A";"1997";"N/A";"N/A";"http://www.imdb.com/title/tt0944005/plotsummary?ref_=tt_ov_pl";
"tt0944006";"Budejovicen anabasis";"null";"null";"null";"30 min";"N/A";"N/A";"Comedy, War";"Pauli Virtanen";"Veijo Meri (dramatization), Jaroslav Hasek (novel), Marja Helin (translation), Tuure Lehén (translation), Elvi Sinervo (translation: poems)";"Matti Varjo, Matti Ranin, Uljas Kandolin, Esko Salminen";"N/A";"N/A";"1967";"N/A";"N/A";"N/A";
"tt0944007";"Etsivä Bretschneiderin ponnistukset";"null";"null";"null";"24 min";"N/A";"N/A";"Comedy, War";"Veikko Kerttula";"Veijo Meri (adaptation), Jaroslav Hasek (novel), Marja Helin (translation), Tuure Lehén (translation)";"Matti Varjo, Leila Itkonen, Yrjö Järvinen, Leo Jokela";"N/A";"N/A";"1967";"N/A";"N/A";"N/A";
"tt0944008";"Koiraa hankkimassa";"null";"null";"null";"24 min";"N/A";"N/A";"Comedy, War";"Veikko Kerttula";"Veijo Meri (dramatization), Jaroslav Hasek (novel), Marja Helin (translation), Tuure Lehén (translation)";"Matti Varjo, Matti Ranin, Tapio Hämäläinen, Olavi Ahonen";"N/A";"N/A";"1967";"N/A";"N/A";"N/A";
"tt0944009";"Luutnantti Dubin alennus";"null";"null";"null";"28 min";"N/A";"N/A";"Comedy, War";"Pauli Virtanen";"Veijo Meri (dramatization), Jaroslav Hasek (novel), Marja Helin (translation), Tuure Lehén (translation)";"Matti Varjo, Esko Pesonen, Martti Romppanen, Martti Kuisma";"N/A";"N/A";"1968";"N/A";"N/A";"N/A";
"tt0944010";"Matka rintamalle";"null";"null";"null";"23 min";"N/A";"N/A";"Comedy, War";"Veikko Kerttula";"Veijo Meri (dramatization), Jaroslav Hasek (novel), Marja Helin (translation), Tuure Lehén (translation)";"Matti Varjo, Matti Ranin, Martti Romppanen, Esko Pesonen";"N/A";"N/A";"1968";"N/A";"N/A";"N/A";
"tt0944011";"Rouva Kakonyi";"null";"null";"null";"25 min";"N/A";"N/A";"Comedy, War";"Pauli Virtanen";"Veijo Meri (dramatization), Jaroslav Hasek (novel), Marja Helin (translation), Tuure Lehén (translation), Elvi Sinervo (translation: poems), Seppo Virtanen (translation: poems)";"Matti Varjo, Matti Ranin, Gustav Wiklund, Eero Keskitalo";"N/A";"N/A";"1968";"N/A";"N/A";"N/A";
"tt0944012";"Sotilaspalvelija";"null";"null";"null";"25 min";"N/A";"N/A";"Comedy, War";"Veikko Kerttula";"Veijo Meri (dramatization), Jaroslav Hasek (novel), Marja Helin (translation), Tuure Lehén (translation)";"Matti Varjo, Risto Mäkelä, Oiva Sala, Matti Ranin";"N/A";"N/A";"1967";"N/A";"N/A";"N/A";
"tt0944013";"Sotilaspastori Katz";"null";"null";"null";"25 min";"N/A";"N/A";"Comedy, War";"Pauli Virtanen";"Veijo Meri (dramatization), Jaroslav Hasek (novel), Tuure Lehén (translation), Marja Helin (translation)";"Matti Varjo, Leila Itkonen, Ossi Elstelä, Fritz-Hugo Backman";"N/A";"N/A";"1967";"N/A";"N/A";"N/A";
"tt0944014";"Svejk sotavankina";"null";"null";"null";"24 min";"N/A";"N/A";"Comedy, War";"Pauli Virtanen";"Jaroslav Hasek (novel), Marja Helin (translation), Tuure Lehén (translation), Veijo Meri (adaptation)";"Matti Varjo, Matti Ranin, Esko Pesonen, Esko Mattila";"N/A";"N/A";"1968";"N/A";"N/A";"N/A";
"tt0944015";"Väliasema";"null";"null";"null";"25 min";"N/A";"N/A";"Comedy, War";"Veikko Kerttula";"Veijo Meri (dramatization), Jaroslav Hasek (novel), Marja Helin (translation), Tuure Lehén (translation)";"Matti Varjo, Matti Ranin, Martti Romppanen, Esko Pesonen";"N/A";"N/A";"1968";"N/A";"N/A";"N/A";
"tt0944016";"Die Geschichte des zu kleinen Hutes";"null";"null";"null";"45 min";"N/A";"N/A";"N/A";"N/A";"Rodica Döhnert";"Josef Baum, Michael Gahr, Lisa Kreuzer, Kirsten Nehberg";"N/A";"N/A";"2003";"N/A";"N/A";"N/A";
"tt0944017";"Oudejaars avond special 2004";"null";"null";"null";"100 min";"N/A";"N/A";"Family";"N/A";"N/A";"Carlo Boszhard, Irene Moors, Rudolph van Veen";"N/A";"N/A";"2004";"N/A";"N/A";"N/A";
"tt0944018";"Scapular";"null";"null";"null";"N/A";"N/A";"N/A";"Drama, Romance";"N/A";"N/A";"Carlo Aquino, Soliman Cruz, Malou de Guzman, Ketchup Eusebio";"N/A";"N/A";"2006";"N/A";"N/A";"N/A";
"tt0944019";"Mile 2006";"null";"null";"null";"20 min";"N/A";"N/A";"Comedy";"N/A";"N/A";"Zoran Cvijanovic, Ana Maljevic, Sasa Latinovic";"N/A";"N/A";"2005";"N/A";"N/A";"N/A";
"tt0944021";"Llámame Manu";"null";"null";"null";"60 min";"N/A";"N/A";"Comedy";"Sandra Gallego";"Pablo Barrera (creator), Benjamín Herranz, Pilar Nadal, Ernesto Pozuelo, Clara Pérez Escrivá, Chus Vallejo";"Francis Lorenzo, Paz Padilla, Miriam Díaz-Aroca, Juanjo Cucalón";"Spanish";"Spain";"2005";"N/A";"N/A";"N/A";
"tt0943067";"#DUPE#";"null";"null";"null";"60 min";"N/A";"N/A";"Comedy";"Gustavo Cotta";"Pablo Barrera (creator), Nuria Bueno, Guillermo Cisneros, José Luis Martín, Nicholas Romero";"Francis Lorenzo, Paz Padilla, Miriam Díaz-Aroca, Juanjo Cucalón";"Spanish";"Spain";"2005";"N/A";"N/A";"N/A";
"tt0944023";"Me pusiste los cuernos con Naranjito";"null";"null";"null";"60 min";"N/A";"N/A";"Comedy";"N/A";"Pablo Barrera (creator)";"Francis Lorenzo, Paz Padilla, Miriam Díaz-Aroca, Juanjo Cucalón";"Spanish";"Spain";"2004";"N/A";"N/A";"N/A";
"tt0944024";"Ni parir me dejáis tranquila";"null";"null";"null";"60 min";"N/A";"N/A";"Comedy";"N/A";"Pablo Barrera (creator)";"Francis Lorenzo, Paz Padilla, Miriam Díaz-Aroca, Juanjo Cucalón";"Spanish";"Spain";"2005";"N/A";"N/A";"N/A";
"tt0944025";"No sé si mi padre es un asesino o un transexual";"null";"null";"null";"60 min";"N/A";"N/A";"Comedy";"N/A";"Pablo Barrera (creator), Rodrigo Martín";"Francis Lorenzo, Paz Padilla, Miriam Díaz-Aroca, Juanjo Cucalón";"Spanish";"Spain";"2004";"N/A";"N/A";"N/A";
"tt0944026";"Por una tapa de calamares";"null";"null";"null";"60 min";"N/A";"N/A";"Comedy";"Gustavo Cotta, Sandra Gallego, Carlos Navarro Ballesteros, Jesús Rodrigo";"Pablo Barrera (creator), Benjamín Herranz, Pilar Nadal, Ernesto Pozuelo, Clara Pérez Escrivá";"Francis Lorenzo, Paz Padilla, Miriam Díaz-Aroca, Juanjo Cucalón";"Spanish";"Spain";"2005";"N/A";"N/A";"N/A";
"tt0944027";"Yo vivía en una casa de lujo y una termita se la comió";"null";"null";"null";"60 min";"N/A";"N/A";"Comedy";"N/A";"Pablo Barrera (creator), Rodrigo Martín";"Francis Lorenzo, Paz Padilla, Miriam Díaz-Aroca, Juanjo Cucalón";"Spanish";"Spain";"2004";"N/A";"N/A";"N/A";
"tt0944028";"¡Dios, qué va a pensar papá de esto!";"null";"null";"null";"60 min";"N/A";"N/A";"Comedy";"N/A";"Pablo Barrera (creator)";"Francis Lorenzo, Paz Padilla, Miriam Díaz-Aroca, Juanjo Cucalón";"Spanish";"Spain";"2004";"N/A";"N/A";"N/A";
"tt0944029";"¿Cuando erais pobres, comíais todos los días?";"null";"null";"null";"60 min";"N/A";"N/A";"Comedy";"N/A";"Pablo Barrera (creator)";"Francis Lorenzo, Paz Padilla, Miriam Díaz-Aroca, Juanjo Cucalón";"Spanish";"Spain";"2005";"N/A";"N/A";"N/A";
"tt0944030";"Das schwarze Kleid";"null";"null";"null";"45 min";"N/A";"N/A";"Crime, Drama";"Gero Weinreuter";"Marc Blöbaum";"Thomas Scharff, Sanna Englund, Frank Vockroth, Rhea Harder";"N/A";"N/A";"2007";"N/A";"http://ia.media-imdb.com/images/M/MV5BMTg2ODY2OTA1Nl5BMl5BanBnXkFtZTcwMDE2MjY4Mw@@._V1_SX300.jpg";"N/A";
"tt0944031";"Spiel des Lebens";"null";"null";"null";"45 min";"N/A";"N/A";"Crime, Drama";"Gero Weinreuter";"Astrid Ströher";"Thomas Scharff, Sanna Englund, Frank Vockroth, Rhea Harder";"N/A";"N/A";"2007";"N/A";"http://ia.media-imdb.com/images/M/MV5BMTg2ODY2OTA1Nl5BMl5BanBnXkFtZTcwMDE2MjY4Mw@@._V1_SX300.jpg";"N/A";
"tt0944032";"Zeugnistag";"null";"null";"null";"45 min";"N/A";"N/A";"Crime, Drama";"Jörg Schneider";"Axel Hildebrand, Astrid Ströher, Luci Van Org";"Thomas Scharff, Sanna Englund, Frank Vockroth, Rhea Harder";"N/A";"N/A";"2007";"N/A";"http://ia.media-imdb.com/images/M/MV5BMTg2ODY2OTA1Nl5BMl5BanBnXkFtZTcwMDE2MjY4Mw@@._V1_SX300.jpg";"N/A";
"tt0944034";"Kosto";"null";"null";"null";"N/A";"N/A";"N/A";"Crime";"Pentti Järvinen";"Pentti Järvinen";"Paavo Pentikäinen, Antti Virmavirta, Olli Ikonen, Leena Uotila";"N/A";"N/A";"1988";"N/A";"N/A";"N/A";
"tt0944038";"Hocu da se zenim";"null";"null";"null";"42 min";"N/A";"N/A";"Comedy";"Zdravko Sotra";"Mirko Kovac";"Dragutin Dobricanin, Bozidar Stosic, Vladimir Popovic, Milutin Butkovic";"N/A";"N/A";"1970";"N/A";"N/A";"N/A";
"tt0944039";"Rodjaci na sve strane";"null";"null";"null";"42 min";"N/A";"N/A";"Comedy";"Zdravko Sotra";"Mirko Kovac";"Dragutin Dobricanin, Radmila Gutesa, Mija Aleksic, Zoran Radmilovic";"N/A";"N/A";"1970";"N/A";"N/A";"N/A";
"tt0944040";"Sin Aleksa";"null";"null";"null";"42 min";"N/A";"N/A";"Comedy";"Zdravko Sotra";"Mirko Kovac";"Dragutin Dobricanin, Zoran Radmilovic, Predrag Lakovic, Branislav-Ciga Milenkovic";"N/A";"N/A";"1970";"N/A";"N/A";"N/A";
"tt0944041";"Stric Simeun";"null";"null";"null";"42 min";"N/A";"N/A";"Comedy";"Zdravko Sotra";"Mirko Kovac";"Dragutin Dobricanin, Djordje Jelisic, Olga Stanisavljevic, Mija Aleksic";"N/A";"N/A";"1970";"N/A";"N/A";"N/A";
"tt0944042";"Ugledni rodjak u gradu";"null";"null";"null";"42 min";"N/A";"N/A";"Comedy";"Zdravko Sotra";"Mirko Kovac";"Dragutin Dobricanin, Mirko Bulovic, Dusan 'Krcun' Djordjevic, Dragoljub-Gula Milosavljevic";"N/A";"N/A";"1970";"N/A";"N/A";"N/A";
"tt0944043";"Visoki gost";"null";"null";"null";"42 min";"N/A";"N/A";"Comedy";"Zdravko Sotra";"Mirko Kovac";"Dragutin Dobricanin, Slobodan Aligrudic, Mira Banjac, Olga Ivanovic";"N/A";"N/A";"1970";"N/A";"N/A";"N/A";
"tt0944044";"Zu viel Geld - zu wenig Leben";"null";"null";"null";"44 min";"N/A";"N/A";"Comedy, Crime";"Gunter Krää";"Nikolaus Schmidt";"Josef Hannesschläger, Tom Mikulla, Max Müller, Marisa Burger";"German";"Germany";"2007";"N/A";"N/A";"N/A";
"tt0944045";"Alte Freunde";"null";"null";"null";"45 min";"N/A";"N/A";"N/A";"Axel Barth";"Jörg Alberts, Jeanet Pfitzer";"Gundula Rapsch, Jophi Ries, Mike Hoffmann, Jasmin Gerat";"N/A";"N/A";"2007";"N/A";"N/A";"N/A";
"tt0944046";"Bõhm naplója II.";"null";"null";"null";"30 min";"N/A";"N/A";"Drama, Family, Romance";"Ádám Horváth";"N/A";"Anita Ábel, Karola Csürös, Anna Fehér, Edit Frajt";"N/A";"N/A";"1999";"N/A";"N/A";"N/A";
"tt0944047";"Gradina";"null";"null";"null";"55 min";"N/A";"N/A";"Adventure, Comedy, Drama";"Zdravko Sotra";"Slobodan Stojanovic";"Petar Bozovic, Pavle Vuisic, Nikola Simic, Zoran Radmilovic";"N/A";"N/A";"1977";"N/A";"N/A";"N/A";
"tt0944048";"Radnicki - Gradjanski";"null";"null";"null";"55 min";"N/A";"N/A";"Adventure, Comedy, Drama";"Zdravko Sotra";"Slobodan Stojanovic";"Petar Bozovic, Slobodan Aligrudic, Zika Milenkovic, Nikola Simic";"N/A";"N/A";"1977";"N/A";"N/A";"N/A";
"tt0944049";"Utakmica";"null";"null";"null";"55 min";"N/A";"N/A";"Adventure, Comedy, Drama";"Zdravko Sotra";"Slobodan Stojanovic";"Petar Bozovic, Pavle Vuisic, Nikola Simic, Vojislav Brajovic";"N/A";"N/A";"1977";"N/A";"N/A";"N/A";
"tt0944050";"Mens sana in córpore Sonny";"null";"null";"null";"10 min";"N/A";"N/A";"Comedy";"Paco León";"N/A";"Paco León, Mari Paz Sayago, Manuel Monteagudo, Charo Sánchez";"N/A";"N/A";"2007";"N/A";"N/A";"N/A";
"tt0944051";"Tienes un e-mail";"null";"null";"null";"10 min";"N/A";"N/A";"Comedy";"Paco León";"N/A";"Paco León, Mari Paz Sayago, Manuel Monteagudo, Charo Sánchez";"N/A";"N/A";"2007";"N/A";"N/A";"N/A";
"tt0944182";"To Be an American";"null";"null";"null";"60 min";"N/A";"N/A";"Documentary";"Tom Spain";"Tom Brokaw, Tom Spain";"Tom Brokaw";"English";"USA";"1989";"N/A";"N/A";"N/A";
"tt0944192";"Morte di un confidente";"null";"null";"null";"105 min";"4.3";"28";"Crime, Drama, Thriller";"Antonio Manetti, Marco Manetti";"Tommaso Capolicchio (screenplay), Massimo Carlotto (story), Nicola Lusuardi (screenplay)";"Rodolfo Corsato, Debora Caprioglio, Chiara Conti, Genti Kame";"Italian";"Italy";"2007";"N/A";"N/A";"N/A";
